COMPETENCE,EXCITEMENT,RUGGEDNESS,SINCERITY,SOPHISTICATION
ABLE ,ACTIVE ,AL_FRESCO ,ABOVE_BOARD ,A_LA_MODE 
ABLE_BODIED ,AGGRESSIVE ,ALFRESCO ,ACCOMMODATING  ,ALLURING 
ADEPT ,ARTISTIC ,ANIMAL ,ACCURATE ,AMIABLE 
ADROIT ,ARTY ,ANIMALS ,ACTUAL ,ANGELIC 
ASSIDUOUS ,AUDACIOUS ,ARDUOUS ,AFFABLE ,APPEALING 
ASSURED ,AUDACITY ,BEEFY ,APPROACHABLE ,ARISTOCRACY 
ASTUTE ,AUTONOMOUS ,BOISTEROUS ,APPROACHING ,ARISTOCRAT 
AWARD_WINNING ,AVANT_GARDE ,BRUTAL ,AUTHENTIC ,ARISTOCRATIC 
BLOOMING ,AWE_INSPIRING  ,BUMPY ,BENEFICIAL ,ARISTOCRATICAL  
BOOMING ,AWESOME ,CALLOUS ,BENEVOLENT ,ATTRACTIVE 
BRAINY ,BOLD ,CHALLENGE ,BENIGN ,BARONIAL 
CELEBRATORY ,BOLDNESS ,CHALLENGING ,BLUNT ,BEAUTIFUL 
CERTIFIED ,BOOST ,COARSE ,BONAFIDE ,BLUE_BLOOD 
COMPETENCE ,BRACING ,CONFRONTATION  ,BRIGHT ,BLUE_BLOODED 
COMPETENT ,BRANDNEW ,COWBOY ,BUOYANT ,BRUSH_UP 
COMPLETE ,BRAND_NEW ,CRAGGED ,CANDID ,CAPTIVATE 
COMPREHENSIVE ,BRAVE ,CRAGGY ,CHARITABLE ,CAPTIVATING 
CONCERN ,BRAVERY ,CRIMSON ,CHEERFUL ,CELEBRATED 
CONCLUSIVE ,BREATHTAKING ,CRUDENESS ,CIVIL ,CHARISMATIC 
CONFINED ,BRISK ,CRUDITY ,CIVILISED ,CHARM 
CONGLOMERATE ,COLORFUL ,CRUEL ,CIVILITY ,CHARMING 
CONQUERING ,COLOURFUL ,DANGEROUS ,CIVILIZED ,CHERUBIC 
CONSCIENTIOUS ,COOL ,DAUNTING ,CLEAN_CUT ,CLASSY 
CONSISTENT ,COURAGE ,DAYBREAK ,CLEAR_CUT ,COSMOPOLITAN 
CONSTANT ,COURAGEOUS ,DAYSPRING ,COMMON ,COTOURE 
CRAFTINESS ,COURAGEOUSNESS  ,DEMANDING ,COMMONPLACE ,COURTIER 
CRAFTY ,COURANT ,DESERT ,COMPANIONABLE  ,CULTIVATED 
CUNNING ,CRAZY ,DIFFICULT ,COMPASSIONATE  ,CULTURED 
DEPENDABLE ,CREATIVE ,DURABLE ,CONGENIAL ,CUTE 
DEXTEROUS ,CREATIVITY ,EFFORTFUL ,CONTENT ,DANDYISH 
DILIGENCE ,CRISP ,ENDEAVOR ,CONVENTIONAL ,DE_LUXE 
DILIGENT ,CURRENT ,ENDEAVOUR ,CONVIVIAL ,DELICATE 
DOINGWELL ,DARING ,ENDURE ,COOPERATIVE ,DIGNIFIED 
DOMINANT ,DAZZLING ,EXTERNAL ,CORDIAL ,DISTINCTION 
ENTERPRISE ,DESIGNER ,EXTINCT ,CORRECT ,DISTINGUISHED  
ENTERPRISINGNESS  ,DETERMINED ,EXTREME ,COURTEOUS ,DOWNY 
EQUIPOTENT ,EARLY ,EXTREMUM ,CUSTOMARY ,DULCET 
ESTABLISHMENT ,ELECTRIFYING ,FEROCIOUS ,DECENT ,EDIFICATION 
EVERLASTING ,ELEVATE ,FORCIBLE ,DEFENSIBLE ,ELEGANT 
EXHAUSTIVE ,EMANCIPATE ,FRESCO ,DIRECT ,ELOQUENT 
EXPERIENCED ,EMANCIPATED ,FRESHAIR ,DISTINCTIVE ,ENCHANT 
EXULTANT ,ENERGISE ,FRONTIER ,DOWN_TO_EARTH  ,ENCHANTING 
FAIL_SAFE ,ENERGISING ,FURROW ,EARNEST ,ENDEARING 
FIRM ,ENERGIZE ,GODFORSAKEN ,EBULLIENT ,ENGAGING 
FIRST_PLACE ,ENERGIZING ,GRANITELIKE ,EMOTIONAL ,ENNOBLING 
FLOURISHING ,ENLIVEN ,GRANITIC ,EVERYDAY ,ENRAPTURE 
FOOLPROOF ,ENLIVENING ,GRATING ,EXISTENT ,ENTHRAL 
FOR_CERTAIN ,ENTERPRISING ,GRAVEL ,EXISTING ,ENTHRALL 
FOREFRONT ,EXALT ,GRUELING ,FACT_BASED ,ENTHRALLING 
GAINFUL ,EXALTING ,GRUELLING ,FACTUAL ,ENTICING 
GENIUS ,EXCITATION ,HARD ,FAITHFUL ,ENTRANCING 
GET_AHEAD ,EXCITE ,HARD_BOILED ,FORTHCOMING ,EPICUREAN 
GIFTED ,EXCITED ,HARDENED ,FORTHRIGHT ,ESTEEMED 
GLORIOUS ,EXCITEMENT ,HARD_HITTING ,FRANK ,ESTHETIC 
GOVERNANCE ,EXCITING ,HARSH ,FRIENDLY ,EXCELLENT 
GUARANTEE ,EXHILARATE ,HAZARDOUS ,GENEROUS ,EXCLUSIVE 
GUARANTEED ,EXHILARATING ,HEAVY_DUTY ,GENIAL ,EXCLUSIVITY 
HARDWORKING ,EXUBERANT ,HUNT ,GENUINE ,EXPENSIVE 
HARD_WORKING ,FEISTY ,HUNTING ,GLAD ,EXQUISITE 
HI_TECH ,FORCEFUL ,HUSKINESS ,GOOD ,EXQUISITELY 
ILLUSTRIOUS ,FRESH ,INHUMANE ,GOOD_HEARTED ,EXTRAVAGANT 
IMPERISHABLE ,FRESHNESS ,INSENSITIVE ,GOOD_HUMOURED ,EYE_CATCHING 
IN_FRONT ,GUTSY ,IRREGULAR ,GRACIOUS ,FABULOUS 
IN_CHARGE ,HAPPENING ,JAGGED ,GREGARIOUS ,FANTABULOUS 
INDUSTRIAL ,HEROIC ,JEANS ,GUILELESS ,FASCINATING 
INDUSTRIALISE ,HEROISM ,JERKING ,HALE AND HEARTY  ,FASHIONABLE 
INDUSTRIALISED ,HIGH_SPIRITED  ,JERKY ,HEALTHFUL ,FEMALE 
INDUSTRIALIZED ,HIP ,JOLTING ,HEARTFELT ,FEMININE 
INDUSTRIOUS ,IMAGINATIVE ,JOLTY ,HEARTY ,FIRST_CLASS 
INDUSTRIOUSNESS ,INDEPENDENT ,JUNGLE ,HELPFUL ,FIRST_RATE 
INDUSTRY ,INDIVIDUAL ,LABOURIOUS ,HONEST ,FLOSSY 
IN_NO_DOUBT ,INNOVATIVE ,LEATHERY ,HONESTNESS ,FLUENT 
INTELLECTUAL ,INSPIRING ,MACHO ,HONESTY ,FRAGILE 
INTELLIGENT ,INTREPID ,MANFULLY ,HONORABLE ,FRAGRANT 
JUBILANT ,INVENTIVE ,MANLY ,HONORABLENESS ,FULGID 
KNOWING ,INVIGORATING ,MANNISH ,HONOURABLE ,GENTEEL 
KNOWLEDGEABLE ,IN_VOGUE ,MASCULINE ,HONOURABLENESS  ,GENTLE 
KNOWLEDGEABLE_ABOUT ,JUVENILE ,MAVERICK ,HUMANE ,GENTLEMANLIKE  
LASTING ,LATEST ,MOUNTAINOUS ,HUMBLE ,GENTLEMANLY 
LEADER ,LIBERATED ,MOUNTAINS ,INDISPUTABLE ,GENTLEWOMAN 
LICENSE ,LIFTING ,NERVE_RACKING  ,INIMITABLE ,GILDED 
LOGICAL ,LIVEN_UP ,NERVE_WRACKING  ,INSPIRED ,GLAMOROUS 
LONG_LASTING ,LONE ,OPEN_AIR ,IRREPLACEABLE ,GLAMOUR 
LONG_LIVED ,MODERN ,OUTDOOR ,JOVIAL ,GLAMOUROUS 
LONG_SUFFERING ,MODERN_DAY ,OUTDOORS ,KIN ,GLIB 
LOYAL ,MODERNISTIC ,OUTDOORSY ,KIND ,GLIB_TONGUED 
LUCRATIVE ,MODERNNESS ,OUTER ,KINDLY ,GLITTERING 
MANUFACTURE ,MODISH ,OUT_OF_DOOR ,KINSHIP ,GLOSSY 
MARKETABLE ,MOVING ,OUT_OF_DOORS ,LEGITIMATE ,GOOD_LOOKING 
MECHANICAL ,NERVE ,OUTSIDE ,LEGITIMATISE ,GOOD_NATURED 
MERCANTILE ,NEW ,PACHYDERMATOUS  ,LEGITIMATIZE ,GORGEOUS 
METHODOLOGICAL ,NEWLY_ARISEN ,PERDURABLE ,LEGITIMISE ,GRACEFUL 
METICULOUS ,NIFTY ,PERILOUS ,LEGITIMIZE ,HANDSOME 
MONEYMAKING ,PLUCKY ,PHYSICAL ,LUCKY ,HAUTE_COTOURE  
MONEY_MAKING ,PRESENT ,POINTY ,MATCHLESS ,HIGH_BORN 
OUTSTANDING ,PRESENT_DAY ,POTHOLED ,MAUDLIN ,HIGH_BROW 
PAINSTAKING ,PREVAILING ,PRAIRIE ,MERCIFUL ,HIGHBROWED 
PARTNERSHIP ,PRISTINE ,PRECARIOUS ,MERRY ,HIGH_CLASS 
PERPETUAL ,RECENT ,PROHIBITED ,MODEST ,HIGH_PROFILE 
PERSEVERING ,REFRESHED ,PUNISHING ,NATURAL ,HIGH_STATUS 
PERSISTENT ,REFRESHEN ,RAMPAGEOUS ,NOURISHING ,IN_STYLE 
POISED ,REFRESHFUL ,RESILIENT ,NOVEL ,IN_VOGUE 
POTENT ,REFRESHING ,RIGOROUS ,OBLIGING ,INDULGENT 
PRIZE_WINNING ,REPRESENT ,ROBUST ,OLD_FASHIONED ,LADY 
PROCEDURAL ,RESOLUTE ,ROCKLIKE ,OPEN ,LORD 
PRODUCTION ,RESOURCEFUL ,ROCKY ,OPENHEARTED ,LUSTROUS 
PROFIT ,RISKY ,ROUGH ,ORDINARY ,LUXURIOUS 
PROFITABLE ,ROUSING ,ROUGHENED ,ORIGINAL ,MAGNANIMOUSNESS 
PROMISING ,SHAKE_UP ,ROUGHISH ,ORIGINALITY ,MAGNIFICENT 
PROSPER ,SHARP ,ROUGH_TEXTURED  ,PERKY ,MELLIFLUOUS 
PROSPERING ,SMASHING ,RUGGED ,PLAINSPOKEN ,MELLISONANT 
PROSPEROUS ,SOLE ,RUGGEDNESS ,PLEASANT ,NICE_LOOKING 
PROTECTED ,SOLITARY ,RUTHLESS ,PLENTIFUL ,NOBILITY 
PROUD ,SOLO ,RUTTED ,POLITE ,NOBLE 
PUNCTILOUS ,SOVEREIGN ,SAFARI ,POLITENESS ,NOBLEMAN 
RESPONSIBLE ,SPECIFIC ,SALOON ,POSITIVE ,NOBLE_MINDED 
PROFIT_MAKING ,SPINE_TINGLING  ,SAVANNA ,PRACTICAL ,NOBLENESS 
SAFE ,SPIRITED ,SAVANNAH ,PRAGMATIC ,NOBLESSE 
SALABLE ,STATE_OF_THE_ART ,SCRAGGY ,PROPER ,NOBLEWOMAN 
SALEABLE ,STIMULATING ,SCRATCHY ,PROPERNESS ,PATRICIAN 
SCIENTIFIC ,STIRRING ,SERRATED ,REAL ,PHOTOGENIC 
SECURE ,STOUT ,SEVERE ,REALISTIC ,PICTURESQUE 
SELF_ASSURED ,STRONG_WILLED  ,SPARTAN ,RELATION ,PLEASING 
SELF_CONFIDENT ,THRILLING ,STONY ,RELATIONS ,POLISHED 
SELF_POSSESSED ,TONIC ,STRAINING ,RELATIONSHIP ,POSH 
SELLABLE ,TRENDY ,STRAPPING ,RELIABLE ,PRECIOUS 
SHELTERED ,TURN_ON ,STRENUOUS ,REMARKABLE ,PREEMINENCE 
SMART ,UNCONSTRAINED  ,STRONG_ARM ,RESPECTABLE ,PRESTIGIOUS 
SOLID ,UNDEVELOPED ,STRUGGLE ,RESPONSIVE ,PRETTY 
STAUNCH ,UNFETTERED ,STURDY ,SCRUPULOUS ,PRINCELY 
STEADFAST ,UNIQUE ,SUNRISE ,SELF_EFFACING  ,PROFLIGATE 
STEADY ,UNMARKED ,SUNSET ,SENTIMENTAL ,PROMINENT 
STRONG ,UNMATCHED ,SURVIVOR ,SIMPLE ,QUEENLIKE 
SUCCESSFUL ,UP_TO_DATE ,TESTING ,SIMPLE_MINDED  ,QUEENLY 
SUPERIOR ,UP_TO_THE_MINUTE ,THICK_SKINNED  ,SINCERE ,REFINED 
SYSTEMATIC ,VALIANT ,TIMBERLAND ,SINGLE ,RENOWNED 
TALENTED ,VENTURESOME ,TOOTHED ,SMALL_TOWN ,RIGHTEOUS 
TECHNICAL ,VIBRANT ,TOUCH_AND_GO ,SMILING ,ROYAL 
THOROUGH ,VIBRATE ,TOUGH ,SOCIABLE ,SATIN 
THOROUGHGOING ,VITAL ,TOUGHENED ,SPRIGHTLINESS ,SATINY 
THRIVING ,VOUGE ,TOUGHNESS ,STANDARD ,SCINTILLANT 
TIRELESS ,YOUNG ,TREACHEROUS ,STRAIGHT ,SCINTILLATING  
TOPPLACE ,YOUTHFUL ,TREK ,STRAIGHTFORWARD  ,SEDUCTIVE 
TRADE ,,TREKKING ,STRAIGHTNESS ,SENSATIONAL 
TRANSNATIONAL ,,TRICKY ,SYMPATHETIC ,SERAPHIC 
TRIUMPHAL ,,UNCHARITABLE ,THE_RIGHT_WAY  ,SHINING 
TRIUMPHANT ,,UNCIVILISED ,TRUE ,SHINY 
TRUSTY ,,UNCIVILIZED ,TRUE_LIFE ,SILK 
UNATTACKABLE ,,UNCOMFORTABLE  ,TRUSTWORTHY ,SILKY 
UNBEATABLE ,,UNCOVERED ,TRUTHFUL ,SILVER_TONGUED  
UNBEATEN ,,UNDOMESTICATED  ,TYPICAL ,SNOBBISH 
UNBENDABLE ,,UNEVEN ,UNADULTERATED  ,SOPHISTICATE 
UNDEVIATING ,,UNFORGIVING ,UNASSUMING ,SOPHISTICATED  
UNFAILING ,,UNKIND ,UNCHANGING ,SOPHISTICATION  
UNFALTERING ,,UNMERCIFUL ,UNDERSTANDING  ,SPECTACULAR 
UNFLAGGING ,,UNPADDED ,UNGLAMOROUS ,SPLENDID 
UNFLUCTUATING ,,UNPLEASANT ,UNGLAMOUROUS ,STRIKING 
UNSHAKABLE ,,UNPOLISHED ,UNINTERESTED ,STUNNING 
UNSWERVING ,,UNREFINED ,UNOSTENTATIOUS  ,STYLISH 
UNWAVERING ,,UNRELENTING ,UNPRETENTIOUS  ,SUAVE 
UP_AND_COMING ,,UNRESTRAINED ,UNQUESTIONABLE  ,SUGARINESS 
VENDABLE ,,UNSMOOTH ,UNSPOILT ,SUPERFINE 
VENDIBLE ,,UNSTEADY ,UP_FRONT ,TOP_NOTCH 
VENTURE ,,UNTAMED ,VALID ,UPMARKET 
VICTORIOUS ,,WEATHER_BEATEN  ,WARM ,UPPER_CLASS 
WILY ,,WEATHERED ,WELCOMING ,UPPERCLASSES 
WINNING ,,WEATHERWORN ,WELL_FOUNDED ,WELL_BRED 
WITTY ,,VENTUROUS ,WELL_MANNERED  ,VELVET 
,,WESTERLY ,VERITABLE ,VELVETY 
,,WESTERN ,VERITY ,VOGUISH 
,,WILD ,WHOLESOME ,VOLUPTUARY 
,,WILDLIFE ,VIGOROUS ,VOLUPTUOUS 
,,VIOLENT ,VIRTUOUS ,WOMANLIKE 
,,WOODLAND ,VIVACIOUS ,WOMANLY 
